1282 64795
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
1 1 1
1 1 7
1 1 13
